Initial_Fe,Initial_Co,Initial_Se,Initial_Mn,Initial_Ni,Initial_H,Initial_O,Initial_Cu,Substrate,Shape of Electrocatalyst,Deposition Method,Specific Loading,Overpotential,Capacitance,Tafel Slope,Post_Fe,Post_Co,Post_Se,Post_Mn,Post_Ni,Post_H,Post_O,Post_Cu,Type of Electrocatalyst,Initial Electrocatalyst
0.0,1.0,1.0,0.0,1.0,0.9999999999999999,0,0.0,1.0,0.0,2.0,1.5,250.0,5.870000000000001,55.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,B-CoSe2@CoNi LDH HNA
0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,6.0,2.0,0.18000000000000016,350.0,2.2300000000000004,89.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,Ni3Se4/UCL-3
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,7.0,6.0,1.0,0.4500000000000002,200.0,11.6,58.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,Ni0.2Fe0.8Se–Se
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,7.0,1.0,0.56,257.0,17.4,43.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,Ni0.8Fe0.2Se2
1.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.0,1.0,2.0,0.28000000000000025,242.0,10.35,41.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,Ni-MOF-Fe-Se-400 (Ni3Se4/NiSe2)
1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,2.0,2.0,0.5,270.0,0.870000000000001,36.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,Fe0.4Co0.6Se2
0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,2.0,2.0,0.796,231.0,325.0,57.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,"Co0.85Se1−x@C
 (x = 0.49)"
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,1.0,2.0,0.2999999999999998,256.0,18.3,50.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,NiSe2/FeSe2
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,8.0,1.0,2.0,0.5,281.0,0.41000000000000014,41.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,NiFe-Se (NiSe2/Fe2NiSe4)
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,3.0,2.0,0.4500000000000002,240.0,4.259999999999998,48.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,"(Ni, Fe)Se2"
0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,1.0,1.0,2.0,8.5,286.0,38.6,53.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,NiSe2/CoSe2-N
